,agent_id,date_utc,punch_in,punch_out,user_shift_assign,timezone_string,time_zone
124,2662,2023-07-20,2023-07-20 00:02:00,2023-07-20 00:38:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
125,2662,2023-07-20,2023-07-20 00:48:00,2023-07-20 03:09:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
126,2662,2023-07-20,2023-07-20 03:42:00,2023-07-20 03:59:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
127,2662,2023-07-20,2023-07-20 04:04:00,2023-07-20 04:50:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
128,2662,2023-07-20,2023-07-20 04:54:00,2023-07-20 05:29:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
129,2662,2023-07-20,2023-07-20 05:40:00,2023-07-20 06:01:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
130,2662,2023-07-20,2023-07-20 11:19:00,2023-07-20 11:31:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
131,2662,2023-07-20,2023-07-20 22:12:00,2023-07-21 00:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
132,2638,2023-07-20,2023-07-20 00:04:00,2023-07-20 00:45:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
133,2638,2023-07-20,2023-07-20 01:44:00,2023-07-20 02:34:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
134,2638,2023-07-20,2023-07-20 02:37:00,2023-07-20 02:44:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
135,2638,2023-07-20,2023-07-20 02:48:00,2023-07-20 03:21:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
136,2638,2023-07-20,2023-07-20 03:29:00,2023-07-20 05:36:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
137,2638,2023-07-20,2023-07-20 05:39:00,2023-07-20 06:21:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
138,2638,2023-07-20,2023-07-20 12:26:00,2023-07-20 12:47:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
139,2638,2023-07-20,2023-07-20 22:00:00,2023-07-20 22:37:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
140,2638,2023-07-20,2023-07-20 22:41:00,2023-07-20 22:45:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
141,2638,2023-07-20,2023-07-20 22:48:00,2023-07-20 23:45:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
142,997,2023-07-20,2023-07-20 00:06:00,2023-07-20 00:09:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
143,997,2023-07-20,2023-07-20 00:32:00,2023-07-20 00:44:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
144,997,2023-07-20,2023-07-20 00:48:00,2023-07-20 00:52:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
145,997,2023-07-20,2023-07-20 01:00:00,2023-07-20 01:05:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
146,997,2023-07-20,2023-07-20 01:09:00,2023-07-20 01:13:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
147,997,2023-07-20,2023-07-20 01:22:00,2023-07-20 01:28:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
148,997,2023-07-20,2023-07-20 01:50:00,2023-07-20 01:53:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
149,997,2023-07-20,2023-07-20 01:56:00,2023-07-20 02:10:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
150,997,2023-07-20,2023-07-20 02:13:00,2023-07-20 02:18:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
151,997,2023-07-20,2023-07-20 02:24:00,2023-07-20 02:28:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
