"agent_id","punch_in","punch_out","date_utc"
1827,2023-07-20 02:21:00,2023-07-20 02:24:00,2023-07-20
2322,2023-07-20 02:21:00,2023-07-20 03:08:00,2023-07-20
997,2023-07-20 02:24:00,2023-07-20 02:28:00,2023-07-20
1772,2023-07-20 02:25:00,2023-07-20 02:33:00,2023-07-20
2794,2023-07-20 02:25:00,2023-07-20 02:31:00,2023-07-20
563,2023-07-20 02:26:00,2023-07-20 02:29:00,2023-07-20
1763,2023-07-20 02:33:00,2023-07-20 02:36:00,2023-07-20
1772,2023-07-20 02:36:00,2023-07-20 03:13:00,2023-07-20
2638,2023-07-20 02:37:00,2023-07-20 02:44:00,2023-07-20
1719,2023-07-20 02:41:00,2023-07-20 02:44:00,2023-07-20
1827,2023-07-20 02:41:00,2023-07-20 02:49:00,2023-07-20
2348,2023-07-20 02:41:00,2023-07-20 03:10:00,2023-07-20
997,2023-07-20 02:42:00,2023-07-20 02:49:00,2023-07-20
3074,2023-07-20 02:43:00,2023-07-20 02:55:00,2023-07-20
2803,2023-07-20 02:45:00,2023-07-20 02:58:00,2023-07-20
2638,2023-07-20 02:48:00,2023-07-20 03:21:00,2023-07-20
563,2023-07-20 02:51:00,2023-07-20 02:59:00,2023-07-20
997,2023-07-20 02:52:00,2023-07-20 02:55:00,2023-07-20
2812,2023-07-20 02:52:00,2023-07-20 03:06:00,2023-07-20
1827,2023-07-20 02:53:00,2023-07-20 03:09:00,2023-07-20
1739,2023-07-20 02:57:00,2023-07-20 03:45:00,2023-07-20
2462,2023-07-20 02:58:00,2023-07-20 03:31:00,2023-07-20
3074,2023-07-20 02:58:00,2023-07-20 03:07:00,2023-07-20
2803,2023-07-20 03:04:00,2023-07-20 03:24:00,2023-07-20
997,2023-07-20 03:09:00,2023-07-20 03:20:00,2023-07-20
601,2023-07-20 03:10:00,2023-07-20 03:13:00,2023-07-20
2333,2023-07-20 03:11:00,2023-07-20 03:14:00,2023-07-20
2251,2023-07-20 03:13:00,2023-07-20 04:39:00,2023-07-20
601,2023-07-20 03:16:00,2023-07-20 03:19:00,2023-07-20
2322,2023-07-20 03:16:00,2023-07-20 04:04:00,2023-07-20
2348,2023-07-20 03:16:00,2023-07-20 03:25:00,2023-07-20
1027,2023-07-20 03:17:00,2023-07-20 03:39:00,2023-07-20
1772,2023-07-20 03:17:00,2023-07-20 04:49:00,2023-07-20
2333,2023-07-20 03:22:00,2023-07-20 04:22:00,2023-07-20
997,2023-07-20 03:24:00,2023-07-20 03:47:00,2023-07-20
601,2023-07-20 03:25:00,2023-07-20 03:29:00,2023-07-20
1129,2023-07-20 03:25:00,2023-07-20 03:31:00,2023-07-20
2638,2023-07-20 03:29:00,2023-07-20 05:36:00,2023-07-20
2348,2023-07-20 03:30:00,2023-07-20 03:51:00,2023-07-20
747,2023-07-20 03:31:00,2023-07-20 04:40:00,2023-07-20
601,2023-07-20 03:32:00,2023-07-20 03:41:00,2023-07-20
2610,2023-07-20 03:32:00,2023-07-20 03:47:00,2023-07-20
2003,2023-07-20 03:33:00,2023-07-20 04:49:00,2023-07-20
2462,2023-07-20 03:35:00,2023-07-20 04:21:00,2023-07-20
2794,2023-07-20 03:38:00,2023-07-20 03:42:00,2023-07-20
2803,2023-07-20 03:41:00,2023-07-20 04:27:00,2023-07-20
2662,2023-07-20 03:42:00,2023-07-20 03:59:00,2023-07-20
1027,2023-07-20 03:43:00,2023-07-20 04:22:00,2023-07-20
601,2023-07-20 03:45:00,2023-07-20 04:02:00,2023-07-20
2424,2023-07-20 03:49:00,2023-07-20 03:55:00,2023-07-20
1129,2023-07-20 03:51:00,2023-07-20 04:18:00,2023-07-20
2794,2023-07-20 03:51:00,2023-07-20 03:54:00,2023-07-20
997,2023-07-20 03:53:00,2023-07-20 03:56:00,2023-07-20
2610,2023-07-20 03:55:00,2023-07-20 04:04:00,2023-07-20
2348,2023-07-20 03:56:00,2023-07-20 04:07:00,2023-07-20
3007,2023-07-20 03:56:00,2023-07-20 04:31:00,2023-07-20
997,2023-07-20 04:00:00,2023-07-20 04:03:00,2023-07-20
1673,2023-07-20 04:01:00,2023-07-20 05:12:00,2023-07-20
2662,2023-07-20 04:04:00,2023-07-20 04:50:00,2023-07-20
2424,2023-07-20 04:07:00,2023-07-20 04:19:00,2023-07-20
2610,2023-07-20 04:07:00,2023-07-20 04:19:00,2023-07-20
